City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,biskupiec,53.8647,20.9569,33.62,97,100,18.05,PL,1675232085
184,haverfordwest,51.8017,-4.9691,48.58,78,50,5.99,GB,1675232086
185,verkhoyansk,67.5447,133.385,-19.64,98,100,2.82,RU,1675232086
186,saryozek,44.3583,77.9753,30.96,69,76,1.66,KZ,1675232087
187,bredasdorp,-34.5322,20.0403,70.95,78,12,7.63,ZA,1675232088
188,coahuayana,18.7333,-103.6833,67.14,90,6,4.0,MX,1675232088
189,kahului,20.8947,-156.47,75.85,90,20,1.99,US,1675231801
190,fortuna,40.5982,-124.1573,38.32,93,0,9.22,US,1675232089
191,cayenne,4.9333,-52.3333,73.44,100,75,2.3,GF,1675232090
192,susangerd,31.5608,48.1831,60.1,68,3,0.74,IR,1675232090
193,kusti,13.1629,32.6635,78.49,17,7,14.58,SD,1675232091
194,kyrksaeterora,63.2906,9.0891,18.84,83,100,4.38,NO,1675232092
195,portland,45.5234,-122.6762,36.21,75,100,8.05,US,1675231863
196,nalut,30.3333,10.85,38.61,56,7,7.65,LY,1675232093
197,lebu,-37.6167,-73.65,56.19,87,0,19.89,CL,1675231957
198,agadez,19.75,10.25,51.4,36,24,8.23,NE,1675232094
199,luderitz,-26.6481,15.1594,63.59,78,5,11.56,NA,1675232095
200,norman wells,65.282,-126.8329,-34.56,67,40,0.0,CA,1675232095
201,koutiala,12.3917,-5.4642,69.58,9,100,8.52,ML,1675232096
202,mastung,29.7994,66.845,52.34,29,0,3.36,PK,1675232097
203,faanui,-16.4833,-151.75,82.06,73,97,16.17,PF,1675232098
204,khandyga,62.6667,135.6,-28.07,90,100,3.87,RU,1675232098
205,coquimbo,-29.9533,-71.3436,62.33,100,75,1.14,CL,1675232099
206,bodden town,19.2833,-81.25,77.94,83,11,18.05,KY,1675232100
207,meridian,43.6121,-116.3915,21.18,64,0,8.05,US,1675231833
208,dembi dolo,8.5333,34.8,72.82,35,48,1.7,ET,1675232101
209,itatinga,-23.1017,-48.6158,65.39,97,100,2.66,BR,1675232103
210,gravdal,68.1214,13.5031,22.89,100,0,0.0,NO,1675232105
211,la ronge,55.1001,-105.2842,-21.75,76,0,4.61,CA,1675232106
212,cordoba,-31.4135,-64.1811,78.76,84,0,5.75,AR,1675232061
213,mokolo,10.7398,13.8019,70.02,24,98,4.7,CM,1675232107
214,hopewell,37.3043,-77.2872,39.38,95,100,6.85,US,1675232108
215,bonthe,7.5264,-12.505,74.14,88,0,3.62,SL,1675232109
216,basco,20.4487,121.9702,75.72,72,96,13.91,PH,1675232110
217,minas,-34.3759,-55.2377,63.82,98,10,4.94,UY,1675231826
218,kiama,-34.6833,150.8667,78.26,67,17,9.28,AU,1675232112
219,torbay,47.6666,-52.7314,28.58,94,100,23.02,CA,1675232113
220,san quintin,30.4833,-115.95,54.55,64,70,2.37,MX,1675232114
221,oussouye,12.485,-16.5469,68.09,39,68,7.65,SN,1675232115
222,montepuez,-13.1256,38.9997,74.01,92,47,5.41,MZ,1675232116
223,chibombo,-14.6569,28.0706,66.0,94,97,0.92,ZM,1675232117
224,humberto de campos,-2.5983,-43.4611,74.08,95,99,4.32,BR,1675232118
225,upernavik,72.7868,-56.1549,-4.76,92,100,2.48,GL,1675232119
226,pangnirtung,66.1451,-65.7125,-23.96,75,100,4.18,CA,1675232120
227,umm kaddadah,13.6017,26.6876,68.36,23,36,17.9,SD,1675232122
228,grindavik,63.8424,-22.4338,27.07,74,0,4.61,IS,1675231957
229,simao,22.7886,100.9748,80.04,21,29,5.21,CN,1675232124
230,murchison,-41.8,172.3333,62.49,99,100,2.86,NZ,1675232125
231,tezu,27.9167,96.1667,83.12,20,83,4.56,IN,1675231853
232,the pas,53.8251,-101.2541,-27.38,75,20,2.3,CA,1675232127
233,saint-augustin,51.226,-58.6502,-12.64,90,1,5.08,CA,1675231941
234,sioux lookout,50.1001,-91.917,-18.33,76,0,3.44,CA,1675232128
235,bara,10.3744,10.7288,68.43,23,94,6.46,NG,1675232129
